FacilityName,Contractor (y/n),Address,City,State,ZipCode,BusinessHourRate,AfterHoursRate,HolidayRate,TriLingualRateUplift,EmergencyFee,Phone,Contact Name,Contact Email,Notes,Department Charge#,Product #,Director
Lenox Hill- West Islip,,1161 Montauk Hwy,West Islip,NY,11795,$95.00,$115.00,$190.00,25,$25.00,631-624-6677,Patricia Massenkeil,patricia.massenkeil@radnet.com,,,,
LM Language Services,,103 Carnegie Center,Princeton,NJ,8540,$120.00,,,,,917-319-9932,Blanca & Veronica,vender@lmlanguaageservices.net,Suite 300,,,
LNG Consulting,,8225 5th Ave ste222,Brooklyn,NY,11209,$85.00,,,,,718-228-7541,,interpreter@lngconsulting.net,,,,
Lourdes,,Planas,Brooklyn,NY,,$95.00,$110.00,,,,787-3627312,Lourdes Planas,lourdes@visionaryhc.com,,,,
LTC Language Solutions,,8240 Exchange Dr Suite C4,Orlando,FL,32809,110,,,,,321-221-7569,Sydney Lindstrom,slindstrom@ltcls.com,,,,
Mack Eye Center,,257 Monmouth Rd,Oakhurst,NJ,7755,$90.00,$110.00,,,,732-835-2020,Ryne,office@mackeye.com,,,,
Magnus,,1313 N. Grand Ave,Walnut,CA,91789,$95.00,,,,,800-965-9321,,interpet@magnuscorp.com,Dora or Megumi,#280,,
Mej,,,,,,$95.00,$110.00,,,,347-210-9486,Elizabeth Johnson,mejelie245@gmail.com,,,,
Metropolitan,,540 Bordentown,South Amboy,NJ,8879,$90.00,$100.00,,,,732-525-2227,JoAnn Kozay,Jk@metrosurgicalnj.com,,,,
Middlesex,,,,,,125,140,,,,,,,,,,
Misc Services,,Me,,,,,,,,,,,,,,,
Misc- Dennis Quirk,,,,,,$75.00,,,,,,,,,,,
Neptune School District,,60 Neptune Blvd,Neptune,NJ,7753,100,,,,,732-776-2200x7811,Amy Brockel,abrockel@neptune.k12.nj.us,Kathleen Skelton- Director of Special Services,PO # 25-01383,,
Nile West High School,,5701 W. Oakton St.,Skokie,IL,60077,95,115,,,,708-704-7396,Sophia Sartori,sopsar@d219.org,,,,
Northwell- Allergy & Asthma,,896 Targee St,Staten Island,NY,10304,90,115,,,,718-816-8200,Janelle,Amandadejesusramo@northwell.edu,,Department Charge # 30001355,Product #03954,Amanda Dejesus- Ramos
Northwell- Dr Bari (Cardiology,,101 Tyrellan Ave,Staten Island,NY,10309,$90.00,$115.00,$190.00,,$50.00,929-292-3627,Lori Clifford,Lclifford1@northwell.edu,Melissa,Department Charge#30001533,Product #51521,Jonathan Mignola
Northwell- Dr Bjorklund- NHPP Staten Island Heart,,501 Seaview Ave,Staten Island,NY,10305,90,115,190,,,,Charlette Gomez- Fajardo,cgomezfajardo@northwell.edu,,Department Charge # 300001532,Product # 61129,
Northwell- Dr Bradu (Dermatology),,1776 Richmond Rd,Staten Island,NY,10306,$90.00,$115.00,$190.00,,$50.00,718-226-1455,Mario,malzate@northwell.edu,,Department Charge#30005594,Product #60600,
"Northwell- Dr Espisito, Dr Steinbruck, Dr. Angstadt, Dr Ortiz- NHPP- General Surgery",,256 Mason Ave Bld C 3rd Floor,Staten Island,NY,10305,90,115,190,,50,718-226-6569 / (1172 oritiz),Athenia,Ltorres5@northwell.edu,Lisa Torres,Department Charge #300001475,Product # 60252,Jasline Rodriquez
Northwell- Dr Herzog,,1855 Richmond Ave,Staten Island,NY,,$90.00,$115.00,$190.00,,$50.00,347-745-2828,Marisol,ccorona@northwell.edu,Christine Corona,Dept Charge# 30009111,Product # 15945,Admin Director-Johnathan Mignola
"Northwell- Dr Hiltzik (ENT), Dr Blasco",,378 Seaview Ave,Staten Island,NY,10305,$90.00,$115.00,$190.00,,$50.00,718-226-6110/7773,Danielle,dferrari4@northwell.edu,Susan Guzzo,Department Charge # 300001473,Product # 60250,Johnathan Mignola
Northwell- Dr Lefkovic,,375 Seguine ave,Staten Island,NY,10309,$90.00,$115.00,$190.00,,$50.00,718-226-2288,Barbra,Blipari2@northwell.edu,Helen Ruiz,Department Charge # 300001534,Product # 61201,Theoni Napoli
Northwell- Dr Magnola (family medicine),,1776 Richmond Rd,Staten Island,NY,10306,$90.00,$115.00,$190.00,,$50.00,718-226-1455,Mario Alzate,malzate@northwell.edu,,Department Charge #300005571,Product#60484,
Northwell- Dr Sacho (neurosurg)- NHPP,,501 Seaview Ave Suite# 201,Staten Island,NY,10305,90,115,,,,718-226-4940,Marianna Sacco,,Same info as Dr Gilad,,,
Northwell- Dr Singh (Vascular),,501 Seaview Ave Suite#302,Staten Island,NY,10305,$90.00,$115.00,$190.00,,$50.00,718-226-6800,Florence Gyi,fgyi@northwell.edu,,Department Charge #300001470,Product # 60254,Theoni Napoli
Northwell- Dr Wisniewski,,1776 Richmond Rd,Staten Island,NY,10306,90,115,190,,50,718-226-1455,Mario Alzate,malzate@northwell.edu,Same info as Dr Mignola,Department Charge #300005571,Product#60484,
Northwell- Dr. Epelman,,900 South Ave Suite 103,Staten Island,NY,10314,$90.00,$115.00,$190.00,,$50.00,718-226-5653,Anna/Johnathon,dsignorelli@northwell.edu,Dana Signorelli,Dept Charge #30001352,Product #60385,"Admin Director- Carol Pisapi - CPisapico@northwell.edu
Email Johnathon confirmations: jlaureano2@northwell.edu"
"Northwell- Dr. Gilad (neruosurg), Dr. Azab",,501 Seaview,Staten Island,NY,10305,$90.00,$115.00,$190.00,,$50.00,718-226-4226,Nancy,Msacco2@northwell.edu,Marianna Sacco- office manger,Department Charge #30001487,Product #60392,Theoni Napoli
Northwell- Dr. Shahani (Cardiothorasic),,501 Seaview Ave,Staten Island,NY,10305,$90.00,$115.00,$190.00,,$50.00,718-226-6057 & 6210,Haley emails: Jhaley1@northwell.edu,csingh8@northwell.edu,"Cynthia Singh office mg
suite 202",Department Charge # 30001474,Product # 60196,Theoni Napoli
Northwell- Dr. Vazzana (Cardiology)- NHPP Cardiology,,501 Seaview Ave Suite 200,Staten Island,NY,10305,$90.00,$115.00,$190.00,,$50.00,718-226-8249,Lisa,Lnolin@northwell.edu,Sarah- ext5028 called in Suite 200,Department Charge # 30001530,Product Code 60410,
Northwell- Gastro,,4106 Hylan Blvd,Staten Island,NY,10308,$90.00,$115.00,$190.00,,$50.00,718-226-7803,Lori Valentin,lvalentin2@northwell.edu,Lori,,,
Northwell- Orlin & Cohen- Columbus,,65 Columbus Ave,Staten Island,NY,10304,90,115,,,,718-448-3210 x819,Alejandro Mariano,amariano@northwell.edu,,Department Charge # 300006158,Product # 39595,Alejandro Mariano
Northwell- Pain Mgmt,,101 Tyrellan Ave,Staten Island,NY,,90,115,,,,,Cynthia Singh,csingh8@orlincohen.com,,Department Charge #300061940,Product #39992,
Northwell- SIUH,,475 Seaview Ave,Staten Island,NY,10305,$90.00,$115.00,$190.00,,$50.00,718-226-2000,,,,,,
Northwell- UPG,,1110 South Ave Suite 306,Staten Island,NY,10314,90,115,190,,50,718-370-7100,Ditron,DPica1@northwell.edu,Danielle Pica,Department Charge #30005555,Product #60509,"Melissa Bongailas- Mbongailas@northwell.edu
Melissa is reginal director for UPG"
Northwell- UPG- Dr Makarovskay,,3733 Richmond Ave,Staten Island,NY,10314,90,115,,,,718-356-3850,Ann Vidal,avidal2@northwell.edu,,Department Charge #3000556,Product # 60544,
Northwell- Urology,,1441 South Ave,Staten Island,NY,10314,$90.00,$115.00,$190.00,,$50.00,718-226-6348,Celia Carrasquillo,ccarrasqu1@northwell.edu,,Department Charge # 30001477,Product #60200,Brian Beck
NY Sleep Study,,355 Bard Ave,Staten Island,NY,,115,,,,,917-396-9816,Susan Rivera,Srivera1@sleepny.com,,,,
NY Start Program,,,,,,$85.00,$95.00,$155.00,,,,,,,,,
Oakwood Denta- Freehold,,342 Mounts Corner Dr,Freehold,NJ,7728,$85.00,,,,,732414-2683,Danielle Stangas,freehold@oakwooddentalarts.com,,,,
Oakwood Dental,,4864 Arthur Kill Road,Staten Island,NY,10309,$85.00,$95.00,,,,718-356-9800,Nicole Gilchrist,ngilchrist@oakwooddenatlarts.com,,,,
Ortho Smile,,4864 Arthur Kill Road,Staten Island,NY,10309,$85.00,$100.00,$150.00,,$25.00,,,,,,,
Paramount Oral Surgery,,201 Edward Curry Ave,Staten Island,NY,10314,85,,,,,718-494-2053,Vanessa/ Yobani Moranchel,Yobani@paramountoms.com,,,,
PCCS- Person Centered Care Services,,150 Granite Ave,Staten Island,NY,10303,110,,,,,718-370-1088 x239,Giovanella Stewart,GStewart@pccsny.org,,,,
Pediatric Eye Care,,33 Village Court,Hazlet,NJ,7730,$85.00,$100.00,,,,732-217-3503,,pedseyecare@gmail.com,,,,
Preffered Services,,PO Box 9582,San Diego,CA,92169,$110.00,,,,,888-987-6309,Cody Firks,cody@preferredinterpretingservice.com,,,,
Pro Health Dental,,3333 New Hyde Park,New Hyde Park,NY,11043,$95.00,$115.00,$190.00,,,,Anna Oritz,anortiz@phdental.com,Cara's friend,,,
ProCare,,,,,,$115.00,,,,,407-330-9113,Addly & Jeannie,dispatch@theprocare.com,"workmens comp, travel etc",,,
Production Glue,,,,,,$195.00,,,,,203-451-4795,Alex Scordato,Alex.Scordato@productionglue.com,,,,
ProHealth Circle,,,Staten Island,NY,,,$90.00,$165.00,,$10.00,718-370-2014,Caitlin Valenti,,,,,
Project Hospitality,,,Staten Island,NY,,$80.00,$100.00,$155.00,,$25.00,718-876-7716,Dana Flores,dflores@projecthospitality.org,,,,
Project HospitalityHome Health Services,,,Staten Island,NY,,$80.00,$100.00,$155.00,,$25.00,,,,,,,
Richmond Rehab,,91 Tompkins Ave,Staten Island,NY,,$90.00,$110.00,$150.00,,$30.00,,Paul Buchsbaum,pbuchsbaum@richmondrehab.net,,,,
Rise Dance Studio,,,Staten Island,NY,,$115.00,$115.00,,,,917-868-5958,Valerie Bongiorno- owner,risedancestudios@gmail.com,,,,
Rumc,,355 Bard Ave,Staten Island,NY,10310,$85.00,$110.00,$155.00,,$50.00,,,,,,,
Rumc Amboy,,,Staten Island,NY,,$85.00,$110.00,$155.00,,$50.00,,,,,,,
Rumc Service,,355 Bard Ave,Staten Island,NY,10310,,$50.00,,,,,,,,,,
Schweiger Derm,,4 Paragon Way,Freehold,NJ,7728,$95.00,$110.00,$175.00,,$25.00,732-580-4731,Tami Reid,treid@schweigerderm.com,,,,
Service Bridges,,,New York,,,$80.00,,,,,716-219-8002,Jason Goldstein,access@servicebridges.com,Jason- Deaf- use VP,,,
SI Day Camp,,Victory Blvd,Staten Island,NY,10314,$85.00,$100.00,,,,,,,,,,
SI Family Medicine,,1920 Richmond Rd,Staten Island,NY,10306,$75.00,$85.00,$155.00,,,,,,,,,
SI Mental Health,,Castleton Ave,Staten Island,NY,10310,$75.00,$100.00,,,,,,,,,,
SI Opthomology,,23 Oceanic Ave,Staten Island,Ny,,$85.00,,,,,718-948-8880,Adrianna,siosxworks@gmail.com,,,,
SI Oral Surgery,,256 C Mason Ave,Staten Island,NY,10305,$85.00,,,,,718-226-1251,Janet DiDonna,Jnet631@aol.com,,,,
South Shore Eye,,Cooper Ave,Staten Island,NY,,$85.00,$100.00,,,$25.00,718-979-2020,Donna- office manager,info@eyesoncopper.com,,,,
St Johns,,University,Staten Island,NY,10301,$95.00,$115.00,$165.00,,,718-990-2160,Samantha Wright,hastlers@stjohns.edu,,,,
Stand Up MRI,,2060 Hylan Blvd,Staten Island,NY,10306,$85.00,$95.00,,,,718-351-0616,Sandy Pontecorvo,spontecorvo@hmca.com,,,,
Staten Island Academy,,715 Todt Hill Road,Staten Island,NY,10304,$115.00,,,,,971-692-3547,,ecorigliano@statenislandacademy.org,,,,
Sweet Tooth Denistry,,15 1st Street,Staten Island,NY,10306,$85.00,$110.00,$155.00,,,929-833-2424,Gina Rossi,sweettooth@sweettoothpeds.com,,,,
T&T Staffing,,390 Prospect Ave,Hackensack,Nj,7601,$90.00,,,,,201-917-6299,Camen & Tiffany,info@ttsscorp.com,Sutie#j,,,
Target,,2873 Richmond Ave,Staten Island,NY,10314,$105.00,$115.00,,,,,,,,,,
Concord Nursing Home,,300 Madison St,Brooklyn,NY,11216,$75.00,$87.50,,,,718-636-7500,Shlomo Katz,Skatz@theconcord.org,,,,
The integrity Company,,PO Box 58,San Luis Rey,Ca,92068,$90.00,$100.00,,,,8884182565,Monica,monica@theintegritycompanyinc.com,Monica and pricilla,,,
Toms Riveer HS South,,,,,,$95.00,$110.00,,,,732-341-1321,Donna Cicala-Aiello,dcicala1@trschools.com,,,,
Total Captioning,,,,,,110,,,,,201-301-2435,Lauren Schechter,lauren@totalcaption.com,,,,
Transperfect,,,,,,$95.00,,,,,346-646-4111,Dominique Yusuf,dominique.yusuf@transperfect.com,Dominique,,,
Tribeca Dental,,21 Murry Street,New York,NY,10007,$85.00,$110.00,$175.00,,$25.00,212-346-0893,Lucy,manger@tribecadentalny.com,,,,
TTG- TransAtlantic,,80 Theodore Fremd Ave,Rye,NY,10580,$100.00,$130.00,,,,844-329-7088,Kerri Modla,Kerri@ttgtranslates.com,Kerri cell # 267-884-9550,,,
Turn it up,,36 finelle Drive,Weymouth,MA,2188,$130.00,$130.00,,,,617-283-8811,Joelle Bullmund,joelle@turnitupdance.com,,,,
Ubiquis,,61 Broadway suite 14000,,NY,10006,$130.00,$130.00,,,,212-346-6648,James Eleanya,jeleanya@ubiquis.com,,,,
Ubiquis Legal,,,,,,$135.00,$150.00,,,,,,,,,,
United Medical,,988 Broadway,Bayonne,NJ,7002,$95.00,$110.00,$150.00,,,201-339-6111,Nicole Stokes,Nicole@medmagic.net,,,,
Valley Center f/t Deaf,,,Arizona,,,$70.00,,,,,,Laura,lauraep@vcdaz.org,,,,
Victory Eye Specialisst,,3860 Victory Blvd,Staten Island,NY,10314,$85.00,$110.00,$155.00,,,,,,,,,
